calcium saccharin,NNS
calcium saccharin,INTERIM
calcium salt of partially dimerized rosin,GMP
calcium salt of partially dimerized rosin,CTG
calcium salt of partially dimerized rosin,REG
calcium salts,MISC
calcium salts of fatty acids,GMP
calcium salts of fatty acids,REG
calcium salts of fatty acids,MISC
calcium silicate (including synthetic),GMP
calcium silicate (including synthetic),REG
calcium sorbate,PRES
calcium sorbate,GRAS
calcium stearate,MISC
calcium stearate,GRAS
calcium stearate,GMP
calcium stearate,REG/FS
calcium stearate,REG
"calcium stearate, feed grade",GMP
"calcium stearate, feed grade",REG
"calcium stearate, feed grade",FEED
calcium stearoyl-2-lactylate,REG/FS
calcium stearoyl-2-lactylate,REG
calcium stearoyl-2-lactylate,MISC
calcium sulfate,GRAS/FS
calcium sulfate,MISC
calendula,GRAS
calumba root,GMP
calumba root,REG
calumba root,FL/ADJ
"camomile, camomile flowers english, roman, german, hungaria",SP/ESO
"camomile, camomile flowers english, roman, german, hungaria",GRAS
camphor tree,GMP
camphor tree,REG
camphor tree,FL/ADJ
cananga,ESO
cananga,GRAS
candida lipolytica,ENZ
candida lipolytica,REG
candida guilliermondii,ENZ
candida guilliermondii,REG
candelilla wax,GMP
candelilla wax,CTG
candelilla wax,GRAS
canola oil,MISC
canola oil,GRAS
capers,GRAS
caproic acid,REG
caproic acid,MISC
caprylic acid,REG
caprylic acid,PRES
caprylic acid,MISC
caprylic acid,GRAS
capsicum,SP/ESO
capsicum,GRAS
caramel,NUTRS
caraway,SP/ESO
caraway,GRAS
"caraway, black (black cumin)",GRAS
carbado,REG
carbado,ZERO
carbado,FEED
carbarsone (not usp,REG
carbarsone (not usp,FEED
carbarsone (not usp,USP
carbohydrase enzyme derived from aspergillus niger,ENZ
carbohydrase enzyme derived from aspergillus niger,REG
carbohydrase enzyme derived from aspergillus niger,GMP
carbohydrase enzyme derived from rhizopus oryzae,ENZ
carbohydrase enzyme derived from rhizopus oryzae,REG
carbomycin,REG
carbomycin,ZERO
carbomycin,FEED
carbon dioxid,MISC
carbon dioxid,GRAS
carbon monoxide,REG
carbon monoxide,MISC
carboxymethylcellulose,STAB
carboxymethylcellulose,GRAS
cardamom (cardamon),GRAS
cardamom oleoresin,ESO
cardamom oleoresin,GRAS
cardamom seed (cardamon),ESO
cardamom seed (cardamon),GRAS
carnauba wax,MISC
carnauba wax,GRAS
carob bean,ESO
carob bean,GRAS
carob bean extract,ESO
carob bean extract,GRAS
carob bean gum (locust bean gum),FA/FS
